Tipo Titulo,Data Vencimento,Data Base,Taxa Compra Manha,Taxa Venda Manha,PU Compra Manha,PU Venda Manha,PU Base Manha,Prazo_anos
Tesouro IPCA+,2015-05-15,2005-10-20,"8,63","8,69","702,55","698,86","698,52",9.566050650239562
Tesouro IPCA+,2024-08-15,2005-10-20,"8,79","8,87","318,74","314,38","314,23",18.819986310746064
Tesouro IPCA+,2015-05-15,2005-10-21,"8,63","8,69","703,11","699,42","698,86",9.56331279945243
Tesouro IPCA+,2024-08-15,2005-10-21,"8,79","8,87","319,00","314,64","314,38",18.817248459958932
Tesouro IPCA+,2015-05-15,2005-10-24,"8,63","8,69","703,61","699,92","699,56",9.555099247091034
Tesouro IPCA+,2024-08-15,2005-10-24,"8,79","8,87","319,23","314,86","314,70",18.809034907597535
Tesouro IPCA+,2015-05-15,2005-10-25,"8,63","8,69","703,97","700,28","699,92",9.552361396303901
Tesouro IPCA+,2024-08-15,2005-10-25,"8,79","8,87","319,39","315,03","314,86",18.806297056810404
Tesouro IPCA+,2015-05-15,2005-10-26,"8,63","8,69","704,33","700,64","700,28",9.54962354551677
Tesouro IPCA+,2024-08-15,2005-10-26,"8,79","8,87","319,56","315,19","315,03",18.803559206023273
Tesouro IPCA+,2015-05-15,2005-10-27,"8,63","8,69","704,69","700,99","700,64",9.546885694729637
Tesouro IPCA+,2024-08-15,2005-10-27,"8,79","8,87","319,72","315,35","315,19",18.80082135523614
Tesouro IPCA+,2015-05-15,2005-10-28,"8,64","8,70","704,68","700,99","700,38",9.544147843942506
Tesouro IPCA+,2024-08-15,2005-10-28,"8,79","8,87","320,00","315,63","315,35",18.798083504449007
Tesouro IPCA+,2015-05-15,2005-10-31,"8,64","8,70","705,04","701,35","700,99",9.535934291581109
Tesouro IPCA+,2024-08-15,2005-10-31,"8,79","8,87","320,17","315,79","315,63",18.78986995208761
Tesouro IPCA+,2015-05-15,2005-11-01,"8,63","8,69","706,14","702,45","701,96",9.533196440793978
Tesouro IPCA+,2024-08-15,2005-11-01,"8,79","8,87","320,39","316,01","315,79",18.78713210130048
Tesouro IPCA+,2015-05-15,2005-11-03,"8,63","8,69","706,50","702,81","702,45",9.527720739219713
Tesouro IPCA+,2024-08-15,2005-11-03,"8,79","8,87","320,55","316,18","316,01",18.781656399726216
Tesouro IPCA+,2015-05-15,2005-11-04,"8,63","8,69","707,12","703,42","702,81",9.52498288843258
Tesouro IPCA+,2024-08-15,2005-11-04,"8,79","8,87","320,83","316,45","316,18",18.77891854893908
Tesouro IPCA+,2015-05-15,2005-11-07,"8,64","8,70","706,86","703,17","702,81",9.516769336071183
Tesouro IPCA+,2024-08-15,2005-11-07,"8,79","8,87","321,00","316,62","316,45",18.770704996577688
Tesouro IPCA+,2015-05-15,2005-11-08,"8,65","8,71","706,60","702,91","702,55",9.514031485284052
Tesouro IPCA+,2024-08-15,2005-11-08,"8,79","8,87","321,16","316,78","316,62",18.767967145790553
Tesouro IPCA+,2015-05-15,2005-11-09,"8,65","8,71","706,96","703,27","702,91",9.51129363449692
Tesouro IPCA+,2024-08-15,2005-11-09,"8,79","8,87","321,33","316,94","316,78",18.765229295003422
Tesouro IPCA+,2015-05-15,2005-11-10,"8,66","8,72","707,87","704,18","703,77",9.508555783709788
Tesouro IPCA+,2024-08-15,2005-11-10,"8,79","8,87","322,02","317,63","317,45",18.76249144421629
Tesouro IPCA+,2015-05-15,2005-11-11,"8,64","8,70","709,85","706,15","705,40",9.505817932922655
Tesouro IPCA+,2024-08-15,2005-11-11,"8,80","8,88","321,81","317,42","317,09",18.759753593429156
Tesouro IPCA+,2015-05-15,2005-11-14,"8,63","8,69","710,96","707,26","706,84",9.49760438056126
Tesouro IPCA+,2024-08-15,2005-11-14,"8,80","8,88","322,04","317,65","317,46",18.751540041067763
Tesouro IPCA+,2015-05-15,2005-11-16,"8,63","8,69","711,29","707,58","707,26",9.492128678986996
Tesouro IPCA+,2024-08-15,2005-11-16,"8,80","8,88","322,19","317,79","317,65",18.746064339493497
Tesouro IPCA+,2015-05-15,2005-11-17,"8,62","8,68","712,24","708,53","708,20",9.489390828199863
Tesouro IPCA+,2024-08-15,2005-11-17,"8,81","8,89","321,79","317,40","317,25",18.743326488706366
Tesouro IPCA+,2015-05-15,2005-11-18,"8,63","8,69","712,13","708,42","707,91",9.486652977412732
Tesouro IPCA+,2024-08-15,2005-11-18,"8,79","8,87","323,13","318,72","318,49",18.740588637919235
Tesouro IPCA+,2015-05-15,2005-11-21,"8,62","8,68","713,07","709,36","709,04",9.478439425051334
Tesouro IPCA+,2024-08-15,2005-11-21,"8,81","8,89","322,17","317,78","317,63",18.732375085557837
Tesouro IPCA+,2015-05-15,2005-11-22,"8,63","8,69","712,78","709,07","708,75",9.475701574264203
Tesouro IPCA+,2024-08-15,2005-11-22,"8,80","8,88","322,87","318,47","318,32",18.729637234770706
Tesouro IPCA+,2015-05-15,2005-11-23,"8,63","8,69","713,11","709,40","709,07",9.47296372347707
Tesouro IPCA+,2024-08-15,2005-11-23,"8,81","8,89","322,47","318,08","317,93",18.72689938398357
Tesouro IPCA+,2015-05-15,2005-11-24,"8,64","8,70","712,81","709,11","708,78",9.470225872689939
